X,mean,MOEA_D,NSGA_II,R2_MOEA,VSD_MOEA,MOEA_D_Distance,NSGA_II_Distance,R2_MOEA_Distance,VSD_MOEA_Distance,MOEA_D_Position,NSGA_II_Position,R2_MOEA_Position,VSD_MOEA_Position
1,$0\%$,1.985207,1.984417,1.986497,1.986663,1.807407,1.808157,1.81023,1.810232,0.782039,0.778656,0.779103,0.779209
2,$10\%$,0.436754,0.444565,0.311341,2.264269,0,0.000717,0,1.985367,0.436754,0.444403,0.311341,1.036595
3,$20\%$,0.416397,0.434417,0.314644,2.078602,0,0.000624,0,1.765638,0.416397,0.434273,0.314644,1.043255
4,$30\%$,0.409615,0.430478,0.314034,1.904521,0,0.00081,0,1.580547,0.409615,0.430323,0.314034,1.009536
5,$40\%$,0.408989,0.443007,0.315143,1.712022,0,0.000595,0,1.337669,0.408989,0.442874,0.315143,1.016767
6,$50\%$,0.409287,0.441187,0.316102,1.525539,0,0.000671,0,1.08163,0.409287,0.441052,0.316102,1.024788
7,$60\%$,0.413995,0.434071,0.317755,1.340301,0,0.00081,0,0.804187,0.413995,0.433863,0.317755,1.024251
8,$70\%$,0.411232,0.43855,0.317792,1.143667,0,0.000636,0,0.415618,0.411232,0.438371,0.317792,1.025015
9,$80\%$,0.409483,0.441077,0.318992,0.959302,0,0.000571,0,0.021716,0.409483,0.44098,0.318992,0.955214
10,$90\%$,0.410155,0.44496,0.319478,0.763765,0,0.000809,0,5.8E-05,0.410155,0.444745,0.319478,0.763762
11,$100\%$,0.409522,0.422389,0.322114,0.59592,0,0.000535,0,0,0.409522,0.422271,0.322114,0.59592
